                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99223,                 3.9772,                 1.3869,                0.32001,                0.11966,                0.06149,                0.04379,                0.97395,                 3.4934,                 1.3956,               0.070199,              0.0033113,              0.0033113
                      1,                 1.0393,                 3.2968,                 1.4097,                0.15018,                0.23042,                0.10822,                0.06556,                  1.244,                 3.4428,                 1.7114,                0.03987,              0.0063157,              0.0063157
                      2,                  1.116,                 2.8957,                 1.4599,                0.21298,                0.29012,                0.18695,                0.11274,                 1.3009,                 3.2513,                 1.6941,              0.0092109,              0.0089901,              0.0089901
                      3,                 1.1489,                  2.749,                 1.4828,                0.24232,                0.28559,                0.21447,                0.12592,                 1.3132,                 2.9999,                 1.7429,               0.008515,               0.008515,               0.008515
                      4,                 1.1674,                 2.6816,                 1.4929,                0.31415,                0.30169,                0.22614,                0.13895,                  1.247,                  3.187,                 1.6946,               0.008515,               0.008515,               0.008515
                      5,                 1.1315,                 2.5324,                 1.4659,                0.38547,                0.30175,                0.25293,                0.15957,                 1.2231,                 2.8386,                 1.6552,                0.00802,                0.00802,                0.00802
                      6,                 1.0933,                 2.3486,                 1.4376,                0.37188,                0.42241,                0.34698,                0.23511,                 1.1107,                 2.4848,                 1.5483,               0.007525,               0.007525,               0.007525
                      7,                 1.0867,                  2.278,                 1.4328,                0.37803,                 0.3539,                 0.3246,                0.21511,                 1.1631,                 2.5014,                 1.5916,                0.00703,                0.00703,                0.00703
                      8,                 1.0479,                 2.1401,                 1.4103,                0.39307,                0.38561,                 0.3539,                0.23867,                 1.0784,                 2.4158,                   1.52,               0.006535,               0.006535,               0.006535
                      9,                 1.0298,                 2.0732,                 1.4006,                0.51278,                0.47645,                0.45556,                0.31542,                 1.0737,                 2.1106,                 1.4898,                0.00604,                0.00604,                0.00604
                     10,                  1.009,                 2.0084,                 1.3811,                0.52173,                0.48369,                0.47666,                0.34009,                 1.0197,                 1.9599,                 1.4383,               0.005545,               0.005545,               0.005545
                     11,                0.99453,                 1.9318,                 1.3655,                0.52631,                0.46951,                0.47379,                0.33495,                 1.0019,                 1.9274,                 1.4248,                0.00505,                0.00505,                0.00505
                     12,                0.95694,                 1.8196,                  1.342,                0.57866,                0.50379,                0.53903,                0.38584,                0.98214,                 1.8057,                 1.4041,               0.004555,               0.004555,               0.004555
                     13,                0.95253,                 1.7824,                 1.3342,                0.61319,                0.50652,                0.54857,                0.39729,                0.96082,                 1.7337,                 1.3878,                0.00406,                0.00406,                0.00406
                     14,                0.92572,                 1.6743,                 1.3126,                0.62871,                0.55619,                0.59037,                0.43768,                0.91565,                 1.6132,                 1.3308,               0.003565,               0.003565,               0.003565
                     15,                0.90724,                  1.625,                 1.3064,                0.63216,                0.55422,                0.59686,                 0.4387,                0.92916,                 1.5608,                 1.3463,                0.00307,                0.00307,                0.00307
                     16,                0.91108,                 1.5831,                 1.2979,                 0.6689,                0.52308,                 0.5955,                0.44463,                0.89517,                  1.545,                 1.3126,               0.002575,               0.002575,               0.002575
                     17,                0.89251,                 1.5276,                  1.281,                 0.6768,                0.57389,                0.62762,                0.47442,                0.87511,                  1.479,                 1.2974,                0.00208,                0.00208,                0.00208
                     18,                0.86385,                 1.4609,                 1.2719,                0.65871,                0.59306,                0.63521,                0.48322,                 0.8767,                 1.4377,                 1.3009,               0.001585,               0.001585,               0.001585
                     19,                 0.8512,                 1.4308,                 1.2698,                0.63092,                0.61209,                0.64063,                0.48669,                 0.8602,                 1.4317,                 1.2884,                0.00109,                0.00109,                0.00109
